id,xs,ys,matches
608,-35.000000, -13.625000,100
609,-31.330357, -10.053571,100
610,-25.061224,  -7.000000,100
611,-21.636364,  -7.000000,100
612,-18.175258,  -6.030928,100
613,-14.378378,  -5.000000,100
614,-10.795918,  -5.000000,100
615, -8.526316,  -5.000000,100
616, -6.835052,  -5.000000,100
617, -5.000000,  -6.892857,100
618, -1.204082,  -7.000000,100
619,  1.135135,  -5.864865,100
620,  2.000000,  -5.000000,100
621,  4.169643,  -5.000000,100
622,  5.969697,  -6.494949,100
623,  7.000000,  -7.000000,100
624,  7.000000,  -7.000000,100
