0.991,1.000,0.861,0.595,0.336,0.908,0.671,0.340,0.100,0.099,0.449,0.136,0.000,0.136,0.449,0.099,0.100,0.340,0.671,0.908,0.336,0.595,0.861,1.000,0.991
0.991,0.908,0.449,0.099,0.336,1.000,0.671,0.136,0.100,0.595,0.861,0.340,0.000,0.340,0.861,0.595,0.100,0.136,0.671,1.000,0.336,0.099,0.449,0.908,0.991
1.000,0.374,0.054,0.374,1.000,1.000,0.347,0.014,0.347,1.000,1.000,0.338,0.000,0.338,1.000,1.000,0.347,0.014,0.347,1.000,1.000,0.374,0.054,0.374,1.000
0.202,0.055,0.273,0.686,1.000,0.382,0.055,0.075,0.432,0.846,0.621,0.196,0.000,0.196,0.621,0.846,0.432,0.075,0.055,0.382,1.000,0.686,0.273,0.055,0.202
0.202,0.382,0.621,0.846,1.000,0.055,0.055,0.196,0.432,0.686,0.273,0.075,0.000,0.075,0.273,0.686,0.432,0.196,0.055,0.055,1.000,0.846,0.621,0.382,0.202
1.000,1.000,1.000,1.000,1.000,0.374,0.347,0.338,0.347,0.374,0.054,0.014,0.000,0.014,0.054,0.374,0.347,0.338,0.347,0.374,1.000,1.000,1.000,1.000,1.000
1.000,0.846,0.621,0.382,0.202,0.686,0.432,0.196,0.055,0.055,0.273,0.075,0.000,0.075,0.273,0.055,0.055,0.196,0.432,0.686,0.202,0.382,0.621,0.846,1.000
1.000,0.686,0.273,0.055,0.202,0.846,0.432,0.075,0.055,0.382,0.621,0.196,0.000,0.196,0.621,0.382,0.055,0.075,0.432,0.846,0.202,0.055,0.273,0.686,1.000
1.000,0.323,0.044,0.323,1.000,0.987,0.296,0.011,0.296,0.987,0.983,0.287,0.000,0.287,0.983,0.987,0.296,0.011,0.296,0.987,1.000,0.323,0.044,0.323,1.000
0.150,0.039,0.203,0.575,1.000,0.293,0.039,0.053,0.332,0.755,0.507,0.143,0.000,0.143,0.507,0.755,0.332,0.053,0.039,0.293,1.000,0.575,0.203,0.039,0.150
0.150,0.293,0.507,0.755,1.000,0.039,0.039,0.143,0.332,0.575,0.203,0.053,0.000,0.053,0.203,0.575,0.332,0.143,0.039,0.039,1.000,0.755,0.507,0.293,0.150
1.000,0.987,0.983,0.987,1.000,0.323,0.296,0.287,0.296,0.323,0.044,0.011,0.000,0.011,0.044,0.323,0.296,0.287,0.296,0.323,1.000,0.987,0.983,0.987,1.000
1.000,0.755,0.507,0.293,0.150,0.575,0.332,0.143,0.039,0.039,0.203,0.053,0.000,0.053,0.203,0.039,0.039,0.143,0.332,0.575,0.150,0.293,0.507,0.755,1.000
1.000,0.575,0.203,0.039,0.150,0.755,0.332,0.053,0.039,0.293,0.507,0.143,0.000,0.143,0.507,0.293,0.039,0.053,0.332,0.755,0.150,0.039,0.203,0.575,1.000
0.000,0.175,0.269,0.175,0.000,0.175,0.545,0.744,0.545,0.175,0.269,0.744,1.000,0.744,0.269,0.175,0.545,0.744,0.545,0.175,0.000,0.175,0.269,0.175,0.000
1.000,0.944,0.881,0.944,1.000,0.944,0.614,0.366,0.614,0.944,0.881,0.366,0.000,0.366,0.881,0.944,0.614,0.366,0.614,0.944,1.000,0.944,0.881,0.944,1.000
1.000,0.664,0.542,0.664,1.000,0.664,0.283,0.144,0.283,0.664,0.542,0.144,0.000,0.144,0.542,0.664,0.283,0.144,0.283,0.664,1.000,0.664,0.542,0.664,1.000
